"","case_number","to_pay","paid","balance"
"1","19-000980-co"," 208.50"," 208.50","0.00"
"2","19-000983-co"," 195.00"," 195.00","0.00"
"3","19-000984-co"," 225.00"," 225.00","0.00"
"4","19-000985-co"," 215.00"," 215.00","0.00"
"5","19-000986-co"," 205.00"," 205.00","0.00"
"6","19-000988-co"," 0.60"," 0.60","0.00"
"7","19-000989-co"," 195.00"," 195.00","0.00"
"8","19-000990-co"," 205.00"," 205.00","0.00"
"9","19-000991-co"," 205.00"," 205.00","0.00"
"10","19-000992-co"," 205.00"," 205.00","0.00"
"11","19-000993-co"," 205.00"," 205.00","0.00"
"12","19-000994-co"," 195.00"," 195.00","0.00"
"13","19-000995-co"," 365.00"," 365.00","0.00"
"14","19-000996-co"," 195.00"," 195.00","0.00"
"15","19-000997-co"," 310.00"," 310.00","0.00"
"16","19-000998-co"," 195.00"," 195.00","0.00"
"17","19-000999-co"," 195.00"," 195.00","0.00"
"18","19-001000-co"," 205.00"," 205.00","0.00"
"19","19-001001-co"," 195.00"," 195.00","0.00"
"20","19-001002-co"," 205.00"," 205.00","0.00"
"21","19-001003-co"," 195.00"," 195.00","0.00"
"22","19-001005-co"," 195.00"," 195.00","0.00"
"23","19-001006-co"," 205.00"," 205.00","0.00"
"24","19-001007-co"," 205.00"," 205.00","0.00"
"25","19-001008-co"," 215.00"," 215.00","0.00"
"26","19-001009-co"," 205.00"," 205.00","0.00"
"27","19-001010-co"," 1.89"," 1.89","0.00"
"28","19-000946-co"," 195.00"," 195.00","0.00"
"29","19-000947-co"," 195.00"," 195.00","0.00"
"30","19-000948-co"," 195.00"," 195.00","0.00"
"31","19-000952-co"," 195.00"," 195.00","0.00"
"32","19-000957-co"," 195.00"," 195.00","0.00"
"33","19-000958-co"," 208.93"," 208.93","0.00"
"34","19-000959-co"," 195.00"," 195.00","0.00"
"35","19-000960-co"," 195.00"," 195.00","0.00"
"36","19-000964-co"," 0.75"," 0.75","0.00"
"37","19-000966-co"," 195.00"," 195.00","0.00"
"38","19-000967-co"," 195.00"," 195.00","0.00"
"39","19-000968-co"," 195.00"," 195.00","0.00"
"40","19-000969-co"," 195.00"," 195.00","0.00"
"41","19-000944-co"," 195.00"," 195.00","0.00"
"42","19-000975-co"," 205.00"," 205.00","0.00"
"43","19-000977-co"," 195.00"," 195.00","0.00"
"44","19-000945-co"," 0.90"," 0.90","0.00"
"45","19-000865-co"," 196.00"," 196.00","0.00"
"46","19-000974-co"," 205.00"," 205.00","0.00"
"47","19-000874-co"," 195.00"," 195.00","0.00"
"48","19-000883-co"," 206.59"," 206.59","0.00"
"49","19-000885-co"," 195.00"," 195.00","0.00"
"50","19-000887-co"," 195.00"," 195.00","0.00"
"51","19-000888-co"," 198.50"," 198.50","0.00"
"52","19-000889-co"," 195.00"," 195.00","0.00"
"53","19-000897-co"," 195.00"," 195.00","0.00"
"54","19-000898-co"," 195.00"," 195.00","0.00"
"55","19-000899-co"," 195.00"," 195.00","0.00"
"56","19-000901-co"," 310.00"," 310.00","0.00"
"57","19-000902-co"," 205.00"," 205.00","0.00"
"58","19-000903-co"," 0.69"," 0.69","0.00"
"59","19-000904-co"," 195.00"," 195.00","0.00"
